,sentence,mod_word,mod_word_match,head_noun,head_noun_match
0,There are adventure months.,adventure,adventure,months,months
1,There are retirement months.,retirement,retirement,months,months
2,There are jail months.,jail,jail,months,months
3,There are adventure bookings.,adventure,adventure,bookings,bookings
4,It is an adventure commercial.,adventure,adventure,commercial,commercial
5,It is air power.,air,air,power,power
6,It is solar power.,solar,solar,power,power
7,It is manual power.,manual,manual,power,power
8,It is an air current.,air,air,current,current
9,It is an air blast.,air,air,blast,blast
10,It is a birth rash.,birth,birth,rash,rash
11,It is an allergy rash.,allergy,allergy,rash,rash
12,It is an arm rash.,arm,arm,rash,rash
13,It is a birth cramp.,birth,birth,cramp,cramp
14,It is a birth event.,birth,birth,event,event
15,It is a cable brake.,cable,cable,brake,brake
16,It is an electric brake.,electric,electric,brake,brake
17,It is a bicycle brake.,bicycle,bicycle,brake,brake
18,It is a cable pulley.,cable,cable,pulley,pulley
19,It is a cable bobbin.,cable,cable,bobbin,bobbin
20,It is a cactus bee.,cactus,cactus,bee,bee
21,It is a picnic bee.,picnic,picnic,bee,bee
22,It is a syrup bee.,syrup,syrup,bee,bee
23,It is a cactus chipmunk.,cactus,cactus,chipmunk,chipmunk
24,It is a cactus root.,cactus,cactus,root,root
25,It is cane sugar.,cane,cane,sugar,sugar
26,It is peach sugar.,peach,peach,sugar,sugar
27,It is breakfast sugar.,breakfast,breakfast,sugar,sugar
28,It is cane juice.,cane,cane,juice,juice
29,It is a cane plantation.,cane,cane,plantation,plantation
30,There are chocolate shavings.,chocolate,chocolate,shavings,shavings
31,There are grass shavings.,grass,grass,shavings,shavings
32,There are dried shavings.,dried,dried,shavings,shavings
33,It is a chocolate power.,chocolate,chocolate,power,power
34,It is a chocolate recipe.,chocolate,chocolate,recipe,recipe
35,It is a coal town.,coal,coal,town,town
36,It is a festival town.,festival,festival,town,town
37,It is a valley town.,valley,valley,town,town
38,It is a coal country.,coal,coal,country,country
39,It is a coal machine.,coal,coal,machine,machine
40,It is coffee tension.,coffee,coffee,tension,tension
41,It is examination tension.,examination,examination,tension,tension
42,It is muscle tension.,muscle,muscle,tension,tension
43,It is a coffee stain.,coffee,coffee,stain,stain
44,It is a coffee container.,coffee,coffee,container,container
45,There are college lakes.,college,college,lakes,lakes
46,There are farmer lakes.,farmer,farmer,lakes,lakes
47,There are minnow lakes.,minnow,minnow,lakes,lakes
48,It is a college property.,college,college,property,property
49,It is a college publication.,college,college,publication,publication
50,It is cream sauce.,cream,cream,sauce,sauce
51,It is pumpkin sauce.,pumpkin,pumpkin,sauce,sauce
52,It is potato sauce.,potato,potato,sauce,sauce
53,It is a cream bread.,cream,cream,bread,bread
54,It is a cream churn.,cream,cream,churn,churn
55,It is a family cow.,family,family,cow,cow
56,It is a school cow.,school,school,cow,cow
57,It is a dairy cow.,dairy,dairy,cow,cow
58,It is a family garden.,family,family,garden,garden
59,It is a family church.,family,family,church,church
60,It is a financial headache.,financial,financial,headache,headache
61,It is an alcohol headache.,alcohol,alcohol,headache,headache
62,It is a fatal headache.,fatal,fatal,headache,headache
63,It is a financial problem.,financial,financial,problem,problem
64,It is a financial remedy.,financial,financial,remedy,remedy
65,It is a fish gland.,fish,fish,gland,gland
66,It is a reptile gland.,reptile,reptile,gland,gland
67,It is an underdeveloped gland.,underdeveloped,underdeveloped,gland,gland
68,It is a fish fin.,fish,fish,fin,fin
69,It is a fish stew.,fish,fish,stew,stew
70,It is a floral wreath.,floral,floral,wreath,wreath
71,It is a yarn wreath.,yarn,yarn,wreath,wreath
72,It is a Christmas wreath.,Christmas,Christmas,wreath,wreath
73,It is a floral perfume.,floral,floral,perfume,perfume
74,It is a floral fabric.,floral,floral,fabric,fabric
75,There are flu pills.,flu,flu,pills,pills
76,There are infant pills.,infant,infant,pills,pills
77,There are medicinal pills.,medicinal,medicinal,pills,pills
78,It is flu therapy.,flu,flu,therapy,therapy
79,It is a flu outbreak.,flu,flu,outbreak,outbreak
80,It is fruit food.,fruit,fruit,food,food
81,It is hot food.,hot,hot,food,food
82,It is package food.,package,package,food,food
83,It is a fruit slice.,fruit,fruit,slice,slice
84,It is a fruit seed.,fruit,fruit,seed,seed
85,It is a gas lamp.,gas,gas,lamp,lamp
86,It is a battery lamp.,battery,battery,lamp,lamp
87,It is a cabin lamp.,cabin,cabin,lamp,lamp
88,It is a gas car.,gas,gas,car,car
89,It is a gas hose.,gas,gas,hose,hose
90,It is a grain law.,grain,grain,law,law
91,It is a traffic law.,traffic,traffic,law,law
92,It is a state law.,state,state,law,law
93,It is a grain controversy.,grain,grain,controversy,controversy
94,It is a grain dish.,grain,grain,dish,dish
95,It is a gutter hole.,gutter,gutter,hole,hole
96,It is a prairie hole.,prairie,prairie,hole,hole
97,It is a rodent hole.,rodent,rodent,hole,hole
98,It is a gutter rodent.,gutter,gutter,rodent,rodent
99,It is gutter drainage.,gutter,gutter,drainage,drainage
100,It is a heat iron.,heat,heat,iron,iron
101,It is a pancake iron.,pancake,pancake,iron,iron
102,It is a ceramic iron.,ceramic,ceramic,iron,iron
103,It is a heat pad.,heat,heat,pad,pad
104,It is a heat regulator.,heat,heat,regulator,regulator
105,There are historical members.,historical,historical,members,members
106,There are foreign members.,foreign,foreign,members,members
107,There are hospital members.,hospital,hospital,members,members
108,It is a historical elder.,historical,historical,elder,elder
109,There are historical archives.,historical,historical,archives,archives
110,It is a home light.,home,home,light,light
111,It is a reading light.,reading,reading,light,light
112,It is a glass light.,glass,glass,light,light
113,It is home paint.,home,home,paint,paint
114,It is a home dispute.,home,home,dispute,dispute
115,It is honey soup.,honey,honey,soup,soup
116,It is ham soup.,ham,ham,soup,soup
117,It is holiday soup.,holiday,holiday,soup,soup
118,It is a honey muffin.,honey,honey,muffin,muffin
119,It is a honey insect.,honey,honey,insect,insect
120,There are horse scales.,horse,horse,scales,scales
121,There are chemistry scales.,chemistry,chemistry,scales,scales
122,There are metal scales.,metal,metal,scales,scales
123,There are horse stables.,horse,horse,stables,stables
124,It is a horse auction.,horse,horse,auction,auction
125,It is job language.,job,job,language,language
126,It is California language.,California,California,language,language
127,It is verbal language.,verbal,verbal,language,language
128,It is a job completion.,job,job,completion,completion
129,It is job anxiety.,job,job,anxiety,anxiety
130,It is juvenile underwear.,juvenile,juvenile,underwear,underwear
131,It is evening underwear.,evening,evening,underwear,underwear
132,It is flannel underwear.,flannel,flannel,underwear,underwear
133,It is a juvenile swing.,juvenile,juvenile,swing,swing
134,It is juvenile behavior.,juvenile,juvenile,behavior,behavior
135,It is a lemon plant.,lemon,lemon,plant,plant
136,It is a pollen plant.,pollen,pollen,plant,plant
137,It is a farm plant.,farm,farm,plant,plant
138,It is a lemon tree.,lemon,lemon,tree,tree
139,It is a lemon biscuit.,lemon,lemon,biscuit,biscuit
140,It is a Marine antique.,Marine,Marine,antique,antique
141,It is a library antique.,library,library,antique,antique
142,It is a sewing antique.,sewing,sewing,antique,antique
143,It is a Marine gun.,Marine,Marine,gun,gun
144,It is a Marine attack.,Marine,Marine,attack,attack
145,There are marital instincts.,marital,marital,instincts,instincts
146,There are academic instincts.,academic,academic,instincts,instincts
147,There are evolved instincts.,evolved,evolved,instincts,instincts
148,It is marital preparation.,marital,marital,preparation,preparation
149,It is marital happiness.,marital,marital,happiness,happiness
150,It is a milk virus.,milk,milk,virus,virus
151,It is a throat virus.,throat,throat,virus,virus
152,It is a dormant virus.,dormant,dormant,virus,virus
153,It is a milk bacterium.,milk,milk,bacterium,bacterium
154,It is a milk pudding.,milk,milk,pudding,pudding
155,There are morning signals.,morning,morning,signals,signals
156,There are pregnancy signals.,pregnancy,pregnancy,signals,signals
157,There are animal signals.,animal,animal,signals,signals
158,It is morning medication.,morning,morning,medication,medication
159,It is morning meditation.,morning,morning,meditation,meditation
160,It is a moth shape.,moth,moth,shape,shape
161,It is a mould shape.,mould,mould,shape,shape
162,It is an oval shape.,oval,oval,shape,shape
163,It is a moth wing.,moth,moth,wing,wing
164,It is a moth insecticide.,moth,moth,insecticide,insecticide
165,It is a mountain breeze.,mountain,mountain,breeze,breeze
166,It is a kitchen breeze.,kitchen,kitchen,breeze,breeze
167,It is a storm breeze.,storm,storm,breeze,breeze
168,It is a mountain cabin.,mountain,mountain,cabin,cabin
169,It is a mountain magazine.,mountain,mountain,magazine,magazine
170,It is a municipal forest.,municipal,municipal,forest,forest
171,It is a royalty forest.,royalty,royalty,forest,forest
172,It is an alpine forest.,alpine,alpine,forest,forest
173,It is a municipal pool.,municipal,municipal,pool,pool
174,It is a municipal campaign.,municipal,municipal,campaign,campaign
175,It is a murder film.,murder,murder,film,film
176,It is a poverty film.,poverty,poverty,film,film
177,It is a foreign film.,foreign,foreign,film,film
178,It is a murder investigation.,murder,murder,investigation,investigation
179,It is a murder attempt.,murder,murder,attempt,attempt
180,There are national resources.,national,national,resources,resources
181,There are company resources.,company,company,resources,resources
182,There are gold resources.,gold,gold,resources,resources
183,It is a national police.,national,national,police,police
184,It is a national mistake.,national,national,mistake,mistake
185,It is a nose sound.,nose,nose,sound,sound
186,It is a drum sound.,drum,drum,sound,sound
187,It is an unidentified sound.,unidentified,unidentified,sound,sound
188,It is a nose itch.,nose,nose,itch,itch
189,It is a nose movement.,nose,nose,movement,movement
190,It is an office charge.,office,office,charge,charge
191,It is a doctor charge.,doctor,doctor,charge,charge
192,It is a royalty charge.,royalty,royalty,charge,charge
193,It is an office statement.,office,office,statement,statement
194,It is an office notepad.,office,office,notepad,notepad
195,It is an oil treatment.,oil,oil,treatment,treatment
196,It is a surgery treatment.,surgery,surgery,treatment,treatment
197,It is a disease treatment.,disease,disease,treatment,treatment
198,It is an oil moisturizer.,oil,oil,moisturizer,moisturizer
199,It is an oil accident.,oil,oil,accident,accident
200,It is an olive season.,olive,olive,season,season
201,It is a gestation season.,gestation,gestation,season,season
202,It is a humidity season.,humidity,humidity,season,season
203,It is olive fertilizer.,olive,olive,fertilizer,fertilizer
204,It is an olive paste.,olive,olive,paste,paste
205,It is paper equipment.,paper,paper,equipment,equipment
206,It is construction equipment.,construction,construction,equipment,equipment
207,It is steel equipment.,steel,steel,equipment,equipment
208,There are paper staples.,paper,paper,staples,staples
209,It is a paper sculpture.,paper,paper,sculpture,sculpture
210,It is a party dance.,party,party,dance,dance
211,It is a hall dance.,hall,hall,dance,dance
212,It is a peasant dance.,peasant,peasant,dance,dance
213,It is a party toast.,party,party,toast,toast
214,It is a party invitation.,party,party,invitation,invitation
215,It is pine oil.,pine,pine,oil,oil
216,It is pig oil.,pig,pig,oil,oil
217,It is tanning oil.,tanning,tanning,oil,oil
218,It is a pine bark.,pine,pine,bark,bark
219,It is pine furniture.,pine,pine,furniture,furniture
220,It is a plastic report.,plastic,plastic,report,report
221,It is a war report.,war,war,report,report
222,It is a company report.,company,company,report,report
223,It is a plastic shortage.,plastic,plastic,shortage,shortage
224,It is a plastic shortage.,plastic,plastic,shortage,shortage
225,It is a servant comedy.,servant,servant,comedy,comedy
226,It is an economic comedy.,economic,economic,comedy,comedy
227,It is an amateur comedy.,amateur,amateur,comedy,comedy
228,It is a servant scandal.,servant,servant,scandal,scandal
229,It is a servant carriage.,servant,servant,carriage,carriage
230,It is a song magazine.,song,song,magazine,magazine
231,It is a sewing magazine.,sewing,sewing,magazine,magazine
232,It is a locker magazine.,locker,locker,magazine,magazine
233,It is a song review.,song,song,review,review
234,It is a song recital.,song,song,recital,recital
235,It is a sports pain.,sports,sports,pain,pain
236,It is a needle pain.,needle,needle,pain,pain
237,It is an ankle pain.,ankle,ankle,pain,pain
238,It is sports excitement.,sports,sports,excitement,excitement
239,It is a sports program.,sports,sports,program,program
240,It is a steam lock.,steam,steam,lock,lock
241,It is a coil lock.,coil,coil,lock,lock
242,It is an industrial lock.,industrial,industrial,lock,lock
243,It is a steam turbine.,steam,steam,turbine,turbine
244,It is a steam maker.,steam,steam,maker,maker
245,It is a student vote.,student,student,vote,vote
246,It is an employee vote.,employee,employee,vote,vote
247,It is a reform vote.,reform,reform,vote,vote
248,It is a student accusation.,student,student,accusation,accusation
249,It is a student car.,student,student,car,car
250,It is sugar alcohol.,sugar,sugar,alcohol,alcohol
251,It is barley alcohol.,barley,barley,alcohol,alcohol
252,It is cooking alcohol.,cooking,cooking,alcohol,alcohol
253,It is sugar extract.,sugar,sugar,extract,extract
254,It is sugar storage.,sugar,sugar,storage,storage
255,It is summer money.,summer,summer,money,money
256,It is phone money.,phone,phone,money,money
257,It is casino money.,casino,casino,money,money
258,There are summer clothes.,summer,summer,clothes,clothes
259,It is summer employment.,summer,summer,employment,employment
260,It is tax pressure.,tax,tax,pressure,pressure
261,It is weight pressure.,weight,weight,pressure,pressure
262,It is social pressure.,social,social,pressure,pressure
263,It is tax wealth.,tax,tax,wealth,wealth
264,It is a tax form.,tax,tax,form,form
265,It is a thermal wheel.,thermal,thermal,wheel,wheel
266,It is a hydrogen wheel.,hydrogen,hydrogen,wheel,wheel
267,It is a tractor wheel.,tractor,tractor,wheel,wheel
268,It is thermal torture.,thermal,thermal,torture,torture
269,There are thermal socks.,thermal,thermal,socks,socks
270,There are urban riots.,urban,urban,riots,riots
271,It is a Europe dance.,Europe,Europe,dance,dance
272,There are war riots.,war,war,riots,riots
273,It is an urban tower.,urban,urban,tower,tower
274,It is an urban complaint.,urban,urban,complaint,complaint
275,There are vapor drops.,vapor,vapor,drops,drops
276,There are rain drops.,rain,rain,drops,drops
277,There are fallen drops.,fallen,fallen,drops,drops
278,It is a vapor cloud.,vapor,vapor,cloud,cloud
279,It is a vapor humidifier.,vapor,vapor,humidifier,humidifier
280,It is a vegetable peel.,vegetable,vegetable,peel,peel
281,It is a watermelon peel.,watermelon,watermelon,peel,peel
282,It is a bitter peel.,bitter,bitter,peel,peel
283,It is vegetable steam.,vegetable,vegetable,steam,steam
284,It is a vegetable appetizer.,vegetable,vegetable,appetizer,appetizer
285,It is a water bird.,water,water,bird,bird
286,It is a desert bird.,desert,desert,bird,bird
287,It is a domestic bird.,domestic,domestic,bird,bird
288,It is a water algae.,water,water,algae,algae
289,It is a water jar.,water,water,jar,jar
290,It is a winter book.,winter,winter,book,book
291,It is a romance book.,romance,romance,book,book
292,It is a hard book.,hard,hard,book,book
293,It is a winter show.,winter,winter,show,show
294,It is a winter carnival.,winter,winter,carnival,carnival
295,It is a wood stove.,wood,wood,stove,stove
296,It is a propane stove.,propane,propane,stove,stove
297,It is a bread stove.,bread,bread,stove,stove
298,It is a wood freshener.,wood,wood,freshener,freshener
299,It is a wood chisel.,wood,wood,chisel,chisel
300,There are months during which adventures occur.,adventure,adventures,months,months
301,There are months when someone is retired.,retirement,retired,months,months
302,There are months spent in jail.,jail,jail,months,months
303,There are bookings made for an adventure.,adventure,adventure,bookings,bookings
304,It is a commercial that shows an adventure.,adventure,adventure,commercial,commercial
305,It is the power to attack from the air.,air,air,power,power
306,It is power produced by the sun.,solar,sun,power,power
307,It is power generated by hand.,manual,hand,power,power
308,It is a current of air.,air,air,current,current
309,It is a blast of air.,air,air,blast,blast
310,It is a rash that is found on the body just after birth.,birth,birth,rash,rash
311,It is a rash caused by an allergy.,allergy,allergy,rash,rash
312,It is a rash on the arm.,arm,arm,rash,rash
313,It is the cramps felt when giving birth.,birth,birth,cramp,cramps
314,It is the event of a birth happening.,birth,birth,event,event
315,It is a brake that has a cable as a part.,cable,cable,brake,brake
316,It is a brake that works by electricity.,electric,electricity,brake,brake
317,It is the brake on a bicycle.,bicycle,bicycle,brake,brake
318,It is a pulley that is used on a cable.,cable,cable,pulley,pulley
319,It is a bobbin for winding cable on.,cable,cable,bobbin,bobbin
320,It is a bee that gathers nectar from a cactus.,cactus,cactus,bee,bee
321,It is a bee that attacks one at a picnic.,picnic,picnic,bee,bee
322,It is a bee that produces syrup.,syrup,syrup,bee,bee
323,It is a chipmunk that lives under cactus.,cactus,cactus,chipmunk,chipmunk
324,It is the root of a cactus plant.,cactus,cactus,root,root
325,It is a type of sugar produced from the cane plant.,cane,cane,sugar,sugar
326,It is sugar extracted from a peach.,peach,peach,sugar,sugar
327,It is sugar that is put on breakfast.,breakfast,breakfast,sugar,sugar
328,It is juice from the cane plant.,cane,cane,juice,juice
329,It is a plantation on which cane is grown.,cane,cane,plantation,plantation
330,There are shavings from a block of chocolate.,chocolate,chocolate,shavings,shavings
331,There are shavings or clippings of grass.,grass,grass,shavings,shavings
332,There are shavings of wood that have been dried.,dried,dried,shavings,shavings
333,It is power produced by eating chocolate.,chocolate,chocolate,power,power
334,It is a recipe for making chocolate.,chocolate,chocolate,recipe,recipe
335,It is a town where coal is the dominant industry.,coal,coal,town,town
336,It is a town where a festival happens.,festival,festival,town,town
337,It is a town in a valley.,valley,valley,town,town
338,It is the country in which coal can be found.,coal,coal,country,country
339,It is a machine that manufactures coal.,coal,coal,machine,machine
340,It is tension caused by drinking coffee.,coffee,coffee,tension,tension
341,It is tension caused by an upcoming examination.,examination,examination,tension,tension
342,It is tension in a muscle.,muscle,muscle,tension,tension
343,It is a stain made by spilled coffee.,coffee,coffee,stain,stain
344,It is a container for holding coffee.,coffee,coffee,container,container
345,There are lakes in the grounds of a college.,college,college,lakes,lakes
346,There are lakes that look like farmers.,farmer,farmers,lakes,lakes
347,There are lakes that are very small.,minnow,small,lakes,lakes
348,It is property belonging to a college.,college,college,property,property
349,It is a publication produced in a college.,college,college,publication,publication
350,It is sauce that is made of cream.,cream,cream,sauce,sauce
351,It is sauce which contains pumpkins.,pumpkin,pumpkins,sauce,sauce
352,It is a sauce for putting on potatoes.,potato,potatoes,sauce,sauce
353,It is a bread that is made from cream.,cream,cream,bread,bread
354,It is a churn used for making cream.,cream,cream,churn,churn
355,It is a cow owned by a family.,family,family,cow,cow
356,It is a cow owned by a school.,school,school,cow,cow
357,It is a cow that gives milk.,dairy,milk,cow,cow
358,It is a garden that a family uses.,family,family,garden,garden
359,It is a church where a family usually goes.,family,family,church,church
360,It is a headache caused by financial problems.,financial,financial,headache,headache
361,It is a headache caused by the consumption of alcohol.,alcohol,alcohol,headache,headache
362,It is a headache that causes death.,fatal,death,headache,headache
363,It is a problem caused by a lack of finance.,financial,finance,problem,problem
364,It is a remedy for financial problems.,financial,financial,remedy,remedy
365,It is a gland that fish have.,fish,fish,gland,gland
366,It is a gland taken from a reptile.,reptile,reptile,gland,gland
367,It is a gland that is underdeveloped.,underdeveloped,underdeveloped,gland,gland
368,It is a fin which is part of a fish.,fish,fish,fin,fin
369,It is a stew with fish as an ingredient.,fish,fish,stew,stew
370,It is a wreath made of flowers.,floral,flowers,wreath,wreath
371,It is a wreath made out of yarn.,yarn,yarn,wreath,wreath
372,It is Christmas wreath.,Christmas,Christmas,wreath,wreath
373,It is perfume that smells of flowers.,floral,flowers,perfume,perfume
374,It is a fabric that is decorated with flowers.,floral,flowers,fabric,fabric
375,There are pills that are intended to cure flu.,flu,flu,pills,pills
376,There are pills that are used to treat infants.,infant,infants,pills,pills
377,There are pills that are medicine.,medicinal,medicine,pills,pills
378,It is therapy used for treating flus.,flu,flus,therapy,therapy
379,It is an outbreak of flu.,flu,flu,outbreak,outbreak
380,It is food used to feed fruit plants.,fruit,fruit,food,food
381,It is food that is hot.,hot,hot,food,food
382,It is food that comes in packages.,package,packages,food,food
383,It is a slice of a fruit.,fruit,fruit,slice,slice
384,It is the seed found inside a fruit.,fruit,fruit,seed,seed
385,It is a lamp that is powered by gas.,gas,gas,lamp,lamp
386,It is a lamp that runs on batteries.,battery,batteries,lamp,lamp
387,It is a lamp that is used in a cabin.,cabin,cabin,lamp,lamp
388,It is a car that runs on gas.,gas,gas,car,car
389,It is a hose down which gas flows.,gas,gas,hose,hose
390,It is the law governing grain.,grain,grain,law,law
391,It is the law which states how traffic should behave.,traffic,traffic,law,law
392,It is a law that holds in a state.,state,state,law,law
393,It is a controversy over the supply of grain.,grain,grain,controversy,controversy
394,It is a dish used for holding grain.,grain,grain,dish,dish
395,It is a hole in the gutter.,gutter,gutter,hole,hole
396,It is a hole in the prairie that some animal lives in.,prairie,prairie,hole,hole
397,It is a hole that a rodent lives in.,rodent,rodent,hole,hole
398,It is a rodent that lives in the gutter.,gutter,gutter,rodent,rodent
399,It is drainage into a gutter.,gutter,gutter,drainage,drainage
400,It is an iron that is hot.,heat,hot,iron,iron
401,It is an iron used to cook pancakes.,pancake,pancakes,iron,iron
402,It is an iron that is made of ceramic.,ceramic,ceramic,iron,iron
403,It is a pad that produces heat.,heat,heat,pad,pad
404,It is a machine that regulates heat.,heat,heat,regulator,regulates
405,There are people who were members in historical times.,historical,historical,members,members
406,There are members which are from a foreign place.,foreign,foreign,members,members
407,There are members of a hospital governing board.,hospital,hospital,members,members
408,It is an elder person in historical times.,historical,historical,elder,elder
409,There are archives containing historical information.,historical,historical,archives,archives
410,It is a light that is found in a home.,home,home,light,light
411,It is a light that provides illumination for reading.,reading,reading,light,light
412,It is a light that is made of glass.,glass,glass,light,light
413,It is paint that is used on homes.,home,homes,paint,paint
414,It is a dispute about the home.,home,home,dispute,dispute
415,It is soup with honey as an ingredient.,honey,honey,soup,soup
416,It is soup made of ham.,ham,ham,soup,soup
417,It is a soup that you only have on holidays.,holiday,holidays,soup,soup
418,It is a muffin with honey as an ingredient.,honey,honey,muffin,muffin
419,It is an insect that produces honey.,honey,honey,insect,insect
420,There are scales used to weigh horses.,horse,horses,scales,scales
421,There are a scales on which chemicals are weighed.,chemistry,chemicals,scales,scales
422,There are scales made of metal.,metal,metal,scales,scales
423,There are stables that a horse lives in.,horse,horse,stables,stables
424,It is an auction where horses are sold.,horse,horses,auction,auction
425,It is the language used to talk about jobs.,job,jobs,language,language
426,It is the language that is spoken in California.,California,California,language,language
427,It is language that is used verbally.,verbal,verbally,language,language
428,It is the completion of a job.,job,job,completion,completion
429,It is anxiety about losing a job.,job,job,anxiety,anxiety
430,It is underwear that are worn by juvenile people.,juvenile,juvenile,underwear,underwear
431,It is special underwear that are worn in the evening.,evening,evening,underwear,underwear
432,It is underwear made of flannel.,flannel,flannel,underwear,underwear
433,It is a swing that is reserved for juveniles.,juvenile,juveniles,swing,swing
434,It is the bad behavior of juveniles.,juvenile,juveniles,behavior,behavior
435,It is the plant on which lemons grow.,lemon,lemons,plant,plant
436,It is a plant that produces a lot of pollen.,pollen,pollen,plant,plant
437,It is a plant that grows on a farm.,farm,farm,plant,plant
438,It is a tree on which lemons grow.,lemon,lemons,tree,tree
439,It is a biscuit with lemons as an ingredient.,lemon,lemons,biscuit,biscuit
440,It is an antique found in the sea.,Marine,sea,antique,antique
441,It is an antique that is found in a library.,library,library,antique,antique
442,It is an antique which is a tool used for sewing.,sewing,sewing,antique,antique
443,It is a gun that is used by marines.,Marine,marines,gun,gun
444,It is an attack carried out by marines.,Marine,marines,attack,attack
445,'There are a person''s instincts to get married.',marital,married,instincts,instincts
446,There are somebodies instincts for academic politics.,academic,academic,instincts,instincts
447,There are instincts that have evolved in an animal.,evolved,evolved,instincts,instincts
448,'It is a person''s preparation for getting married.',marital,married,preparation,preparation
449,It is happiness in marriage.,marital,marriage,happiness,happiness
450,It is a virus found in milk.,milk,milk,virus,virus
451,It is a virus that affects the throat.,throat,throat,virus,virus
452,It is a virus that is dormant.,dormant,dormant,virus,virus
453,It is a bacterium that is found in milk.,milk,milk,bacterium,bacterium
454,It is a pudding with milk as an ingredient.,milk,milk,pudding,pudding
455,There are signals that morning is approaching.,morning,morning,signals,signals
456,There are signals that someone is pregnant.,pregnancy,pregnant,signals,signals
457,There are signals that animals use.,animal,animals,signals,signals
458,It is medication that must be taken in the morning.,morning,morning,medication,medication
459,It is meditation that is done in the morning.,morning,morning,meditation,meditation
460,It is the shape of a moth.,moth,moth,shape,shape
461,It is the shape of a mould.,mould,mould,shape,shape
462,It is the shape oval.,oval,oval,shape,shape
463,It is the wing of a moth.,moth,moth,wing,wing
464,It is an insecticide used for killing moths.,moth,moths,insecticide,insecticide
465,It is a cool breeze that blows in the mountains.,mountain,mountains,breeze,breeze
466,It is a breeze that goes through a kitchen.,kitchen,kitchen,breeze,breeze
467,It is a breeze that blows before a storm.,storm,storm,breeze,breeze
468,It is a cabin on the side of a mountain.,mountain,mountain,cabin,cabin
469,It is a magazine about mountains.,mountain,mountains,magazine,magazine
470,It is a forest that is maintained by the municipality.,municipal,municipality,forest,forest
471,It is a forest that is owned by royalty.,royalty,royalty,forest,forest
472,It is a forest in the alps.,alpine,alps,forest,forest
473,It is a pool maintained by the municipality.,municipal,municipality,pool,pool
474,It is a political campaign for municipal elections.,municipal,municipal,campaign,campaign
475,It is a film about murder.,murder,murder,film,film
476,It is a film about people who live in poverty.,poverty,poverty,film,film
477,It is a film made in a foreign country.,foreign,foreign,film,film
478,It is an investigation into the circumstances of a murder.,murder,murder,investigation,investigation
479,It is an attempt to murder someone.,murder,murder,attempt,attempt
480,There are the resources of a nation.,national,nation,resources,resources
481,There are the resources that a company possesses.,company,company,resources,resources
482,There are resources of gold.,gold,gold,resources,resources
483,It is the police of a nation.,national,nation,police,police
484,It is a mistake made by a nation.,national,nation,mistake,mistake
