,sentence,head_noun,head_noun_match,and_word,and_word_match
486,It is the sound a drum makes and,sound,sound,and,and
487,It is a sound that is unidentified and,sound,sound,and,and
488,It is an itch on the nose and,itch,itch,and,and
489,It is a movement that the nose performs and,movement,movement,and,and
490,It is a charge for the maintenance or use of an office and,charge,charge,and,and
491,It is the charge required to attend a doctor and,charge,charge,and,and
492,It is the charge  paid on items for which royalties are required and,charge,charge,and,and
493,It is a statement produced by an office and,statement,statement,and,and
494,It is a notepad that is used in an office and,notepad,notepad,and,and
495,It is a treatment in which oil is rubbed on and,treatment,treatment,and,and
496,It is a treatment that is carried out before surgery and,treatment,treatment,and,and
497,It is the medical treatment for a disease and,treatment,treatment,and,and
498,It is a moisturizer that is based on oil and,moisturizer,moisturizer,and,and
499,It is an accident in which oil is spilled and,accident,accident,and,and
500,It is the season in which olives grow and,season,season,and,and
501,It is the season in which gestation happens and,season,season,and,and
502,It is the season in which it is humid and,season,season,and,and
503,It is olives spread on the ground as fertilizer and,fertilizer,fertilizer,and,and
504,It is a paste made by crushing olives and,paste,paste,and,and
505,It is equipment used with paper and,equipment,equipment,and,and
506,It is equipment used during construction and,equipment,equipment,and,and
507,It is equipment that is made of steel and,equipment,equipment,and,and
508,There are staples used to join paper together and,staples,staples,and,and
509,It is a sculpture made by folding paper and,sculpture,sculpture,and,and
510,It is a dance that is performed at a party and,dance,dance,and,and
511,It is a dance that is held in a hall and,dance,dance,and,and
512,It is a dance that peasants typically do and,dance,dance,and,and
513,It is a toast that is given at a party and,toast,toast,and,and
514,It is an invitation to come to a party and,invitation,invitation,and,and
515,It is oil extracted from the pine tree and,oil,oil,and,and
516,It is oil extracted from the skin of pigs and,oil,oil,and,and
517,It is oil that is used for tanning and,oil,oil,and,and
518,It is the bark of the pine tree and,bark,bark,and,and
519,It is furniture that is made of pine and,furniture,furniture,and,and
520,It is a report about plastic and,report,report,and,and
521,It is a report on the events of a war and,report,report,and,and
522,It is the annual report of a company and,report,report,and,and
523,It is a shortage of plastic and,shortage,shortage,and,and
524,It is a shortage of plastic and,shortage,shortage,and,and
525,It is a comedy about the activity of servants and,comedy,comedy,and,and
526,It is a comedy about economics and,comedy,comedy,and,and
527,It is a comedy performed by amateurs and,comedy,comedy,and,and
528,It is a scandal in which servants are involved and,scandal,scandal,and,and
529,It is a carriage in which servants travel and,carriage,carriage,and,and
530,It is a magazine that gives lists of songs and,magazine,magazine,and,and
531,It is a magazine with articles about sewing and,magazine,magazine,and,and
532,It is a magazine kept in a locker and,magazine,magazine,and,and
533,It is a review describing a song and,review,review,and,and
534,It is a recital at which songs are performed and,recital,recital,and,and
535,It is a pain that is caused by injury during sports and,pain,pain,and,and
536,It is pain caused by getting stuck with a needle and,pain,pain,and,and
537,It is a pain in the ankle and,pain,pain,and,and
538,It is excite ment about sports and,excite ment,excite ment,and,and
539,It is a program about sports and,program,program,and,and
540,It is a lock that works by steam and,lock,lock,and,and
541,It is a lock that is in the shape of a coil and,lock,lock,and,and
542,It is a lock that is very strong and,lock,lock,and,and
543,It is a turbine which is turned by steam and,turbine,turbine,and,and
544,It is a machine that makes steam and,maker,makes,and,and
545,It is the vote of a group of students and,vote,vote,and,and
546,It is the vote of employees in a company decision and,vote,vote,and,and
547,It is a vote to reform something and,vote,vote,and,and
548,It is an accusation said by a student and,accusation,accusation,and,and
549,It is a car that a student owns and,car,car,and,and
550,It is alcohol that is distilled from sugar and,alcohol,alcohol,and,and
551,It is alcohol that is brewed from barley and,alcohol,alcohol,and,and
552,It is alcohol used as an ingredient in cooking and,alcohol,alcohol,and,and
553,It is a sugary substance that is extracted from a plant and,extract,extracted,and,and
554,It is the storage of sugar and,storage,storage,and,and
555,It is money that is spent during summer and,money,money,and,and
556,It is money used when phoning and,money,money,and,and
557,It is money that can be used only in a casino and,money,money,and,and
558,There are clothes worn during summer and,clothes,clothes,and,and
559,It is employment over the summer period and,employment,employment,and,and
560,It is the pressure caused by paying tax and,pressure,pressure,and,and
561,It is pressure to maintain a certain weight and,pressure,pressure,and,and
562,It is pressure from society to behave a certain way and,pressure,pressure,and,and
563,It is wealth that comes from tax and,wealth,wealth,and,and
564,It is a form that must be filled in for tax and,form,form,and,and
565,It is a wheel that turns by thermal power and,wheel,wheel,and,and
566,It is a wheel that turns because of hydrogen flow and,wheel,wheel,and,and
567,It is the wheel of a tractor and,wheel,wheel,and,and
568,It is torture by heat and,torture,torture,and,and
569,There are socks that keep you warm and,socks,socks,and,and
570,There are riots carried out by city people and,riots,riots,and,and
571,It is a dance that is typical in Europe and,dance,dance,and,and
572,There are riots in protest against a war and,riots,riots,and,and
573,It is a tower in a city and,tower,tower,and,and
574,It is a complaint about living in cities and,complaint,complaint,and,and
575,There are drops that when swallowed produce a vapor and,drops,drops,and,and
576,There are drops of rain and,drops,drops,and,and
577,There are drops that have fallen and,drops,drops,and,and
578,It is a cloud of vapor and,cloud,cloud,and,and
579,It is a humidifier that produces a vapor and,humidifier,humidifier,and,and
580,It is the peel of a vegetable and,peel,peel,and,and
581,It is the peel of a watermelon and,peel,peel,and,and
582,It is peel which has a bitter taste and,peel,peel,and,and
583,It is steam produced when cooking vegetables and,steam,steam,and,and
584,It is an appetizer that is prepared from vegetables and,appetizer,appetizer,and,and
585,It is a bird that lives around water and,bird,bird,and,and
586,It is a bird that lives in the desert and,bird,bird,and,and
587,It is a bird that is kept in the house and,bird,bird,and,and
588,It is algae that grow in water and,algae,algae,and,and
589,It is a jar is which water is stored and,jar,jar,and,and
590,It is a book about things that happen in winter and,book,book,and,and
591,It is a book about romance and,book,book,and,and
592,It is a book that is hard to understand and,book,book,and,and
593,It is a show that takes place in winter and,show,show,and,and
594,It is a carnival that is held in winter and,carnival,carnival,and,and
595,It is a stove which burns wood and,stove,stove,and,and
596,It is a stove that uses propane as fuel and,stove,stove,and,and
597,It is a stove on which bread is cooked and,stove,stove,and,and
598,It is something used to make wood seem fresh and,freshener,fresh,and,and
599,It is a chisel used for working on wood and,chisel,chisel,and,and
600,There are months when one goes on an adventure and,months,months,and,and
601,There are months one spends in retirement and,months,months,and,and
602,There are months one spends in jail and,months,months,and,and
603,There are bookings taken during the arrangement of an adventure and,bookings,bookings,and,and
604,It is a commercial about an adventure and,commercial,commercial,and,and
605,It is military power in the air and,power,power,and,and
606,It is power that comes from solar energy and,power,power,and,and
607,It is power produced by manual labor and,power,power,and,and
608,It is a current in air and,current,current,and,and
609,It is a blast of air and,blast,blast,and,and
610,It is a rash on a baby at birth and,rash,rash,and,and
611,It is a rash caused by an allergy and,rash,rash,and,and
612,It is a rash on an arm and,rash,rash,and,and
613,It is a cramp caused by giving birth and,cramp,cramp,and,and
614,It is an event at which someone or something gives birth and,event,event,and,and
615,It is a brake that works by means of a cable and,brake,brake,and,and
616,It isa brake that is powered by electricity and,brake,brake,and,and
617,It is a brake that is on a bicycle and,brake,brake,and,and
618,It is a pulley that functions by means of a cable and,pulley,pulley,and,and
619,It is a bobbin on which cable is wound and,bobbin,bobbin,and,and
620,It is a bee that lives in a cactus and,bee,bee,and,and
621,It is a bee that comes to a picnic and,bee,bee,and,and
622,It is a bee that likes to eat syrup and,bee,bee,and,and
623,It is a chipmunk that feeds on a cactus and,chipmunk,chipmunk,and,and
624,It is the root of a cactus and,root,root,and,and
625,It is sugar that comes from cane and,sugar,sugar,and,and
626,It is the sugar that is in a peach and,sugar,sugar,and,and
627,It is sugar one uses at breakfast and,sugar,sugar,and,and
628,It is the juice of canes and,juice,juice,and,and
629,It is a plantation of cane plants and,plantation,plantation,and,and
630,There are shavings which are made of chocolate and,shavings,shavings,and,and
631,There are shavings consisting of grass and,shavings,shavings,and,and
632,There are shavings that have been dried and,shavings,shavings,and,and
633,It is power one gets from consuming chocolate and,power,power,and,and
634,It is a recipe for making chocolate and,recipe,recipe,and,and
635,It is a town in which the primary industry is coal mining and,town,town,and,and
636,It is a town in which a festival takes place and,town,town,and,and
637,It is a town located in a valley and,town,town,and,and
638,It is a country that produces coal and,country,country,and,and
639,It is a machine used in the mining of coal and,machine,machine,and,and
640,It is tension caused by consuming coffee and,tension,tension,and,and
641,It is tension caused by the thought of an examination and,tension,tension,and,and
642,It is tension in a muscle and,tension,tension,and,and
643,It is a stain caused by the spilling of coffee and,stain,stain,and,and
644,It is a container in which coffee is stored and,container,container,and,and
645,There are lakes found on college property and,lakes,lakes,and,and
646,There are lakes frequented by farmers and,lakes,lakes,and,and
647,There are lakes containing minnow and,lakes,lakes,and,and
648,It is property owned by a college and,property,property,and,and
649,It is a publication that is produced in a college and,publication,publication,and,and
650,It is a sauce which contains a lot of cream and,sauce,sauce,and,and
651,It is a sauce made out of pumpkins and,sauce,sauce,and,and
652,It is a sauce used on potatoes and,sauce,sauce,and,and
653,It is bread that was made with cream and,bread,bread,and,and
654,It is a churn for producing cream and,churn,churn,and,and
655,It is a cow owned by a family and,cow,cow,and,and
656,It is a cow that lives at a school and,cow,cow,and,and
657,It is a cow that produces milk and,cow,cow,and,and
658,It is a garden owned by a family and,garden,garden,and,and
659,It is a church frequented by members of a family and,church,church,and,and
660,It is a headache caused by financial problems and,headache,headache,and,and
661,It is a headache caused by drinking alcohol and,headache,headache,and,and
662,It is a headache which is fatal and,headache,headache,and,and
663,'It is a problem with the state of one''s finances.' and,problem,problem,and,and
664,It is a remedy which improves ones finances and,remedy,remedy,and,and
665,It is a gland that a fish has and,gland,gland,and,and
666,It is a gland that is part of a reptile and,gland,gland,and,and
667,It is a gland that is underdeveloped and,gland,gland,and,and
668,It is the fin of a fish and,fin,fin,and,and
669,It is a stew which contains fish and,stew,stew,and,and
670,It is a wreath that is made of flowers and,wreath,wreath,and,and
671,It is a wreath made out of yarn and,wreath,wreath,and,and
672,It is a wreath one displays at Christmas and,wreath,wreath,and,and
673,It is perfume which has a floral scent and,perfume,perfume,and,and
674,It is fabric which has a floral pattern on it and,fabric,fabric,and,and
675,There are pills for curing flu and,pills,pills,and,and
676,There are pills for consumption by an infant and,pills,pills,and,and
677,There are pills that are medicinal and,pills,pills,and,and
678,It is therapy aimed at curing flu and,therapy,therapy,and,and
679,It is an outbreak of flu in the population and,outbreak,outbreak,and,and
680,It is food that is fruit and,food,food,and,and
681,It is food which is hot and,food,food,and,and
682,It is food that is found in a package and,food,food,and,and
683,It is a slice of fruit and,slice,slice,and,and
684,It is seed found inside fruit and,seed,seed,and,and
685,It is a lamp that uses gas as fuel and,lamp,lamp,and,and
686,It is a lamp that is powered by a battery and,lamp,lamp,and,and
687,It is a lamp found in a cabin and,lamp,lamp,and,and
688,It is a car that is powered by gas and,car,car,and,and
689,It is a hose that gas comes out of and,hose,hose,and,and
690,It is a law about grain and,law,law,and,and
691,It is a law governing the conduct of traffic and,law,law,and,and
692,It is a law made by and enforced in a state and,law,law,and,and
693,It is a controversy about the supply or trade of grain and,controversy,controversy,and,and
694,It is a dish for holding grain and,dish,dish,and,and
695,It is a hole in a gutter and,hole,hole,and,and
696,It is a hole in a prairie and,hole,hole,and,and
697,It is a hole that a rodent lives in and,hole,hole,and,and
698,It is a rodent that lives in the gutter and,rodent,rodent,and,and
699,It is drainage into a gutter and,drainage,drainage,and,and
700,It is an iron that uses heat to preform its function and,iron,iron,and,and
701,It is an iron used for making a pancake and,iron,iron,and,and
702,It is a type of iron that can be used or crafted like ceramics are and,iron,iron,and,and
703,It is a pad that gives off heat and,pad,pad,and,and
704,It is a device or machine for regulating the amount of heat and,regulator,regulating,and,and
705,There are people that are members for historical reasons and,members,members,and,and
706,There are members that are foreign and,members,members,and,and
707,There are members of a hospital and,members,members,and,and
708,It is an elder important enough to be the subject of history and,elder,elder,and,and
709,There are archives concerning historical events and,archives,archives,and,and
710,It is a light in a home and,light,light,and,and
711,It is a light used for reading and,light,light,and,and
712,It is a light that is made of glass and,light,light,and,and
713,It is paint used in the home and,paint,paint,and,and
714,It is a dispute at home and,dispute,dispute,and,and
715,It is soup containing honey and,soup,soup,and,and
716,It is soup that contains pieces of ham and,soup,soup,and,and
717,It is soup brought on holiday and,soup,soup,and,and
718,It is a muffin that contains honey and,muffin,muffin,and,and
719,It is an insect that produces honey and,insect,insect,and,and
720,There are scales for weighing a horse and,scales,scales,and,and
721,There are scales used in chemistry experiments and,scales,scales,and,and
722,There are scales made of metal and,scales,scales,and,and
723,There are stables in which horses are kept and,stables,stables,and,and
724,It is an auction where a horse is sold and,auction,auction,and,and
725,'It is language that one uses in one''s job.' and,language,language,and,and
726,It is the language spoken in California and,language,language,and,and
727,It is language which is verbal and,language,language,and,and
728,It is the completion of a job and,completion,completion,and,and
729,'It is anxiety caused by one''s job.' and,anxiety,anxiety,and,and
730,It is underwear that is worn by a juvenile and,underwear,underwear,and,and
731,It is underwear that is only worn in the evening and,underwear,underwear,and,and
732,It is underwear made of flannel and,underwear,underwear,and,and
733,It is a swing that is used by a juvenile and,swing,swing,and,and
734,It is behavior reminiscent of juvenile behavior and,behavior,behavior,and,and
735,It is a plant that produces lemons and,plant,plant,and,and
736,It is a plant that uses pollen to achieve fertilization and,plant,plant,and,and
737,It is a plant that is grown on a farm and,plant,plant,and,and
738,It is a tree on which lemons grow and,tree,tree,and,and
739,It is a biscuit that is lemon flavoured and,biscuit,biscuit,and,and
740,It is an antique which was once the property of a Marine and,antique,antique,and,and
741,It is an antique found in a library and,antique,antique,and,and
742,It is an antique which is an old sewing machine and,antique,antique,and,and
743,It is a gun used by Marines and,gun,gun,and,and
744,It is an attack carried out by Marines and,attack,attack,and,and
745,There are the instincts to get married and,instincts,instincts,and,and
746,There are instincts useful in an academic environment and,instincts,instincts,and,and
747,There are instincts which have evolved and,instincts,instincts,and,and
748,It is preparation for marriage and,preparation,preparation,and,and
749,It is happiness caused by marriage and,happiness,happiness,and,and
750,It is a virus transmitted in milk and,virus,virus,and,and
751,'It is a virus which causes a pain in one''s throat.' and,virus,virus,and,and
752,It is a virus which is dormant and,virus,virus,and,and
753,It is a bacterium found in milk and,bacterium,bacterium,and,and
754,It is pudding that contains milk and,pudding,pudding,and,and
755,There are signals which happen in the morning and,signals,signals,and,and
756,There are signals that indicate that someone or something is pregnant and,signals,signals,and,and
757,There are signals made by an animal and,signals,signals,and,and
758,It is medication that is to be taken in the morning and,medication,medication,and,and
759,It is meditation that one does in the morning and,meditation,meditation,and,and
760,It is the shape of a moth and,shape,shape,and,and
761,It is the shape of a mould and,shape,shape,and,and
762,It is a shape that is oval and,shape,shape,and,and
763,It is the wing of a moth and,wing,wing,and,and
764,It is insecticide for killing moths and,insecticide,insecticide,and,and
765,It is a breeze on a mountain and,breeze,breeze,and,and
766,It is a breeze in a kitchen and,breeze,breeze,and,and
767,It is a strong breeze during a storm and,breeze,breeze,and,and
768,It is a cabin located on a mountain and,cabin,cabin,and,and
769,It is a magazine about mountains and,magazine,magazine,and,and
770,It is a forest owned by the municipality and,forest,forest,and,and
771,It is a forest that is owned by royalty and,forest,forest,and,and
772,It is a forest in an alpine region and,forest,forest,and,and
773,It is a pool that is owned by the municipality and,pool,pool,and,and
774,It is a campaign by the municipality and,campaign,campaign,and,and
775,It is a film which portrays a murder taking place and,film,film,and,and
776,It is a film about poverty and,film,film,and,and
777,It is a film made in a foreign place and,film,film,and,and
778,It is an investigation into the details of a murder and,investigation,investigation,and,and
779,It is an attempt made to murder someone and,attempt,attempt,and,and
780,There are the resources of a nation and,resources,resources,and,and
781,There are resources available to a company and,resources,resources,and,and
782,There are resources that are gold and,resources,resources,and,and
783,It is the police of a nation and,police,police,and,and
784,It is a mistake made by a nation and,mistake,mistake,and,and
785,It is a sound that a nose makes and,sound,sound,and,and
786,It is the sound made by a drum and,sound,sound,and,and
787,It is a sound that is unidentified and,sound,sound,and,and
788,'It is an itch on one''s nose.' and,itch,itch,and,and
789,It is a movement of a nose and,movement,movement,and,and
790,It is a charge for using an office and,charge,charge,and,and
791,It is a charge for the services of a doctor and,charge,charge,and,and
792,'It is a charge that is an artist''s royalty.' and,charge,charge,and,and
793,It is a statement given in an office and,statement,statement,and,and
794,It is a notepad intended for use in an office and,notepad,notepad,and,and
795,It is a skin treatment that uses oil and,treatment,treatment,and,and
796,It is a treatment which consists of surgery.  and,treatment,treatment,and,and
797,It is treatment aimed at preventing or ending a disease and,treatment,treatment,and,and
798,It is moisturizer which contains oil and,moisturizer,moisturizer,and,and
799,It is an accident in which oil is leaked and,accident,accident,and,and
800,It is the season when olives are harvested and,season,season,and,and
801,It is a season in which something gestates and,season,season,and,and
802,It is a season in which the weather is very humid and,season,season,and,and
803,It is fertilizer that helps olives to grow and,fertilizer,fertilizer,and,and
804,It is paste made out of olives and,paste,paste,and,and
805,It is equipment used for organising and augmenting paper and,equipment,equipment,and,and
806,It is equipment used in the construction of something and,equipment,equipment,and,and
807,It is equipment that is made of steel and,equipment,equipment,and,and
808,There are staples used for binding papers together and,staples,staples,and,and
809,It is a sculpture made out of paper and,sculpture,sculpture,and,and
810,It is an event which is both a party and a dance and,dance,dance,and,and
811,It is a dance that takes place in a hall and,dance,dance,and,and
812,It is a dance which is attended by peasants and,dance,dance,and,and
813,It is a toast at a party and,toast,toast,and,and
814,It is an invitation to a party and,invitation,invitation,and,and
815,It is oil that comes from a pine tree and,oil,oil,and,and
816,It is oil that is put on a pig and,oil,oil,and,and
817,It is oil used to aid tanning and,oil,oil,and,and
818,It is the bark of a pine tree and,bark,bark,and,and
819,It is furniture that is made mostly of pine and,furniture,furniture,and,and
820,It is a report about the plastic industry and,report,report,and,and
821,It is a report about a war and,report,report,and,and
822,It is a report made by a company and,report,report,and,and
823,It is a shortage of plastic and,shortage,shortage,and,and
824,It is a shortage of plastic and,shortage,shortage,and,and
825,It is a comedy about servants and,comedy,comedy,and,and
826,It is a comedy about economic conditions and,comedy,comedy,and,and
827,It is a comedy performed by amateurs and,comedy,comedy,and,and
828,It is a scandal caused by the behavior of a servant and,scandal,scandal,and,and
829,It is a carriage in which a servant travels and,carriage,carriage,and,and
830,It is a magazine about songs and,magazine,magazine,and,and
831,It is a magazine about sewing and,magazine,magazine,and,and
832,It is a magazine that is in a locker and,magazine,magazine,and,and
833,It is a review about a song and,review,review,and,and
834,It is a recital where songs are performed and,recital,recital,and,and
835,It is a pain caused by participating in sports and,pain,pain,and,and
836,It is a pain caused by being pricked by a needle and,pain,pain,and,and
837,It is a pain in an ankle and,pain,pain,and,and
838,It is excite ment caused by a sports event and,excite ment,excite ment,and,and
839,It is a program for a sports event and,program,program,and,and
840,It is a lock which presents steam from escaping and,lock,lock,and,and
841,It is a lock that works by means of a coil mechanism and,lock,lock,and,and
842,It is a lock used in industry and,lock,lock,and,and
843,It is a turbine that uses steam for power and,turbine,turbine,and,and
844,It is a device that is a maker of steam and,maker,maker,and,and
845,It is a vote cast by a student and,vote,vote,and,and
846,It is a vote made by an employee and,vote,vote,and,and
847,It is a vote that if successful will reform something and,vote,vote,and,and
848,It is an accusation made by a student and,accusation,accusation,and,and
849,It is a car owned by a student and,car,car,and,and
850,It is alcohol that is made from sugar by yeast and,alcohol,alcohol,and,and
851,It is alcohol that is produced by fermenting barley and,alcohol,alcohol,and,and
852,It is alcohol used for cooking and,alcohol,alcohol,and,and
853,It is extract which is sugar and,extract,extract,and,and
854,It is a place where sugar is stored and,storage,stored,and,and
855,It is money that is gotten in summer and,money,money,and,and
856,It is money that is to be spent on the use of phones and,money,money,and,and
857,It is money one spends in a casino and,money,money,and,and
858,There are clothes worn during the summer and,clothes,clothes,and,and
859,It is employment during the summer and,employment,employment,and,and
860,It is pressure caused by a high level of tax and,pressure,pressure,and,and
861,It is pressure exerted by the weight of something and,pressure,pressure,and,and
862,It is pressure caused by society and,pressure,pressure,and,and
863,It is wealth achieved by a high rate of tax and,wealth,wealth,and,and
864,'It is a form for the arrangement of one''s tax payments.' and,form,form,and,and
865,It is a wheel that uses thermal energy and,wheel,wheel,and,and
866,It is a wheel powered by hydrogen energy and,wheel,wheel,and,and
867,It is a wheel that is on a tractor and,wheel,wheel,and,and
868,It is torture consisting of exposure to extreme heat and,torture,torture,and,and
869,'There are socks which help to keep one''s feet warm.' and,socks,socks,and,and
870,There are riots in an urban area and,riots,riots,and,and
871,It is a dance that is popular in Europe and,dance,dance,and,and
872,There are riots against the possibility of war and,riots,riots,and,and
873,It is a tower in an urban area and,tower,tower,and,and
874,It is a complaint about an urban service and,complaint,complaint,and,and
875,There are drops of vapor and,drops,drops,and,and
876,There are drops of water that rain consists of and,drops,drops,and,and
877,There are drops which have fallen and,drops,drops,and,and
878,It is a cloud made of vapor and,cloud,cloud,and,and
879,It is a device which makes vapor more humid and,humidifier,humid,and,and
880,It is the peel of a vegetable and,peel,peel,and,and
881,It is the peel of a watermelon and,peel,peel,and,and
882,It is a peel that is bitter and,peel,peel,and,and
883,It is steam emitted by cooked vegetable and,steam,steam,and,and
884,It is an appetizer consisting of a selection of vegetables and,appetizer,appetizer,and,and
885,It is a bird that lives near water and,bird,bird,and,and
886,It is a bird that lives in a desert and,bird,bird,and,and
887,It is a bird that is domestic and,bird,bird,and,and
888,It is algae that lives in water and,algae,algae,and,and
889,It is a jar containing or intended to contain water and,jar,jar,and,and
890,It is a book about winter and,book,book,and,and
891,It is a book about romance and,book,book,and,and
892,It is a book with a hard cover and,book,book,and,and
893,It is a show presented during the winter and,show,show,and,and
894,It is a carnival that takes place in winter and,carnival,carnival,and,and
895,It is a stove that uses wood as fuel and,stove,stove,and,and
896,It is a stove that uses propane and,stove,stove,and,and
897,It is a stove used for making bread and,stove,stove,and,and
898,It is a freshener for wood and,freshener,freshener,and,and
899,It is a chisel used when crafting things made of wood and,chisel,chisel,and,and
