,sentence,head_noun,head_noun_match,that_word,that_word_match
0,There are adventure months that,months,months,that,that
1,There are retirement months that,months,months,that,that
2,There are jail months that,months,months,that,that
3,There are adventure bookings that,bookings,bookings,that,that
4,It is an adventure commercial that,commercial,commercial,that,that
5,It is air power that,power,power,that,that
6,It is solar power that,power,power,that,that
7,It is manual power that,power,power,that,that
8,It is an air current that,current,current,that,that
9,It is an air blast that,blast,blast,that,that
10,It is a birth rash that,rash,rash,that,that
11,It is an allergy rash that,rash,rash,that,that
12,It is an arm rash that,rash,rash,that,that
13,It is a birth cramp that,cramp,cramp,that,that
14,It is a birth event that,event,event,that,that
15,It is a cable brake that,brake,brake,that,that
16,It is an electric brake that,brake,brake,that,that
17,It is a bicycle brake that,brake,brake,that,that
18,It is a cable pulley that,pulley,pulley,that,that
19,It is a cable bobbin that,bobbin,bobbin,that,that
20,It is a cactus bee that,bee,bee,that,that
21,It is a picnic bee that,bee,bee,that,that
22,It is a syrup bee that,bee,bee,that,that
23,It is a cactus chipmunk that,chipmunk,chipmunk,that,that
24,It is a cactus root that,root,root,that,that
25,It is cane sugar that,sugar,sugar,that,that
26,It is peach sugar that,sugar,sugar,that,that
27,It is breakfast sugar that,sugar,sugar,that,that
28,It is cane juice that,juice,juice,that,that
29,It is a cane plantation that,plantation,plantation,that,that
30,There are chocolate shavings that,shavings,shavings,that,that
31,There are grass shavings that,shavings,shavings,that,that
32,There are dried shavings that,shavings,shavings,that,that
33,It is a chocolate power that,power,power,that,that
34,It is a chocolate recipe that,recipe,recipe,that,that
35,It is a coal town that,town,town,that,that
36,It is a festival town that,town,town,that,that
37,It is a valley town that,town,town,that,that
38,It is a coal country that,country,country,that,that
39,It is a coal machine that,machine,machine,that,that
40,It is coffee tension that,tension,tension,that,that
41,It is examination tension that,tension,tension,that,that
42,It is muscle tension that,tension,tension,that,that
43,It is a coffee stain that,stain,stain,that,that
44,It is a coffee container that,container,container,that,that
45,There are college lakes that,lakes,lakes,that,that
46,There are farmer lakes that,lakes,lakes,that,that
47,There are minnow lakes that,lakes,lakes,that,that
48,It is a college property that,property,property,that,that
49,It is a college publication that,publication,publication,that,that
50,It is cream sauce that,sauce,sauce,that,that
51,It is pumpkin sauce that,sauce,sauce,that,that
52,It is potato sauce that,sauce,sauce,that,that
53,It is a cream bread that,bread,bread,that,that
54,It is a cream churn that,churn,churn,that,that
55,It is a family cow that,cow,cow,that,that
56,It is a school cow that,cow,cow,that,that
57,It is a dairy cow that,cow,cow,that,that
58,It is a family garden that,garden,garden,that,that
59,It is a family church that,church,church,that,that
60,It is a financial headache that,headache,headache,that,that
61,It is an alcohol headache that,headache,headache,that,that
62,It is a fatal headache that,headache,headache,that,that
63,It is a financial problem that,problem,problem,that,that
64,It is a financial remedy that,remedy,remedy,that,that
65,It is a fish gland that,gland,gland,that,that
66,It is a reptile gland that,gland,gland,that,that
67,It is an underdeveloped gland that,gland,gland,that,that
68,It is a fish fin that,fin,fin,that,that
69,It is a fish stew that,stew,stew,that,that
70,It is a floral wreath that,wreath,wreath,that,that
71,It is a yarn wreath that,wreath,wreath,that,that
72,It is a Christmas wreath that,wreath,wreath,that,that
73,It is a floral perfume that,perfume,perfume,that,that
74,It is a floral fabric that,fabric,fabric,that,that
75,There are flu pills that,pills,pills,that,that
76,There are infant pills that,pills,pills,that,that
77,There are medicinal pills that,pills,pills,that,that
78,It is flu therapy that,therapy,therapy,that,that
79,It is a flu outbreak that,outbreak,outbreak,that,that
80,It is fruit food that,food,food,that,that
81,It is hot food that,food,food,that,that
82,It is package food that,food,food,that,that
83,It is a fruit slice that,slice,slice,that,that
84,It is a fruit seed that,seed,seed,that,that
85,It is a gas lamp that,lamp,lamp,that,that
86,It is a battery lamp that,lamp,lamp,that,that
87,It is a cabin lamp that,lamp,lamp,that,that
88,It is a gas car that,car,car,that,that
89,It is a gas hose that,hose,hose,that,that
90,It is a grain law that,law,law,that,that
91,It is a traffic law that,law,law,that,that
92,It is a state law that,law,law,that,that
93,It is a grain controversy that,controversy,controversy,that,that
94,It is a grain dish that,dish,dish,that,that
95,It is a gutter hole that,hole,hole,that,that
96,It is a prairie hole that,hole,hole,that,that
97,It is a rodent hole that,hole,hole,that,that
98,It is a gutter rodent that,rodent,rodent,that,that
99,It is gutter drainage that,drainage,drainage,that,that
100,It is a heat iron that,iron,iron,that,that
101,It is a pancake iron that,iron,iron,that,that
102,It is a ceramic iron that,iron,iron,that,that
103,It is a heat pad that,pad,pad,that,that
104,It is a heat regulator that,regulator,regulator,that,that
105,There are historical members that,members,members,that,that
106,There are foreign members that,members,members,that,that
107,There are hospital members that,members,members,that,that
108,It is a historical elder that,elder,elder,that,that
109,There are historical archives that,archives,archives,that,that
110,It is a home light that,light,light,that,that
111,It is a reading light that,light,light,that,that
112,It is a glass light that,light,light,that,that
113,It is home paint that,paint,paint,that,that
114,It is a home dispute that,dispute,dispute,that,that
115,It is honey soup that,soup,soup,that,that
116,It is ham soup that,soup,soup,that,that
117,It is holiday soup that,soup,soup,that,that
118,It is a honey muffin that,muffin,muffin,that,that
119,It is a honey insect that,insect,insect,that,that
120,There are horse scales that,scales,scales,that,that
121,There are chemistry scales that,scales,scales,that,that
122,There are metal scales that,scales,scales,that,that
123,There are horse stables that,stables,stables,that,that
124,It is a horse auction that,auction,auction,that,that
125,It is job language that,language,language,that,that
126,It is California language that,language,language,that,that
127,It is verbal language that,language,language,that,that
128,It is a job completion that,completion,completion,that,that
129,It is job anxiety that,anxiety,anxiety,that,that
130,It is juvenile underwear that,underwear,underwear,that,that
131,It is evening underwear that,underwear,underwear,that,that
132,It is flannel underwear that,underwear,underwear,that,that
133,It is a juvenile swing that,swing,swing,that,that
134,It is juvenile behavior that,behavior,behavior,that,that
135,It is a lemon plant that,plant,plant,that,that
136,It is a pollen plant that,plant,plant,that,that
137,It is a farm plant that,plant,plant,that,that
138,It is a lemon tree that,tree,tree,that,that
139,It is a lemon biscuit that,biscuit,biscuit,that,that
140,It is a Marine antique that,antique,antique,that,that
141,It is a library antique that,antique,antique,that,that
142,It is a sewing antique that,antique,antique,that,that
143,It is a Marine gun that,gun,gun,that,that
144,It is a Marine attack that,attack,attack,that,that
145,There are marital instincts that,instincts,instincts,that,that
146,There are academic instincts that,instincts,instincts,that,that
147,There are evolved instincts that,instincts,instincts,that,that
148,It is marital preparation that,preparation,preparation,that,that
149,It is marital happiness that,happiness,happiness,that,that
150,It is a milk virus that,virus,virus,that,that
151,It is a throat virus that,virus,virus,that,that
152,It is a dormant virus that,virus,virus,that,that
153,It is a milk bacterium that,bacterium,bacterium,that,that
154,It is a milk pudding that,pudding,pudding,that,that
155,There are morning signals that,signals,signals,that,that
156,There are pregnancy signals that,signals,signals,that,that
157,There are animal signals that,signals,signals,that,that
158,It is morning medication that,medication,medication,that,that
159,It is morning meditation that,meditation,meditation,that,that
160,It is a moth shape that,shape,shape,that,that
161,It is a mould shape that,shape,shape,that,that
162,It is an oval shape that,shape,shape,that,that
163,It is a moth wing that,wing,wing,that,that
164,It is a moth insecticide that,insecticide,insecticide,that,that
165,It is a mountain breeze that,breeze,breeze,that,that
166,It is a kitchen breeze that,breeze,breeze,that,that
167,It is a storm breeze that,breeze,breeze,that,that
168,It is a mountain cabin that,cabin,cabin,that,that
169,It is a mountain magazine that,magazine,magazine,that,that
170,It is a municipal forest that,forest,forest,that,that
171,It is a royalty forest that,forest,forest,that,that
172,It is an alpine forest that,forest,forest,that,that
173,It is a municipal pool that,pool,pool,that,that
174,It is a municipal campaign that,campaign,campaign,that,that
175,It is a murder film that,film,film,that,that
176,It is a poverty film that,film,film,that,that
177,It is a foreign film that,film,film,that,that
178,It is a murder investigation that,investigation,investigation,that,that
179,It is a murder attempt that,attempt,attempt,that,that
180,There are national resources that,resources,resources,that,that
181,There are company resources that,resources,resources,that,that
182,There are gold resources that,resources,resources,that,that
183,It is a national police that,police,police,that,that
184,It is a national mistake that,mistake,mistake,that,that
185,It is a nose sound that,sound,sound,that,that
186,It is a drum sound that,sound,sound,that,that
187,It is an unidentified sound that,sound,sound,that,that
188,It is a nose itch that,itch,itch,that,that
189,It is a nose movement that,movement,movement,that,that
190,It is an office charge that,charge,charge,that,that
191,It is a doctor charge that,charge,charge,that,that
192,It is a royalty charge that,charge,charge,that,that
193,It is an office statement that,statement,statement,that,that
194,It is an office notepad that,notepad,notepad,that,that
195,It is an oil treatment that,treatment,treatment,that,that
196,It is a surgery treatment that,treatment,treatment,that,that
197,It is a disease treatment that,treatment,treatment,that,that
198,It is an oil moisturizer that,moisturizer,moisturizer,that,that
199,It is an oil accident that,accident,accident,that,that
200,It is an olive season that,season,season,that,that
201,It is a gestation season that,season,season,that,that
202,It is a humidity season that,season,season,that,that
203,It is olive fertilizer that,fertilizer,fertilizer,that,that
204,It is an olive paste that,paste,paste,that,that
205,It is paper equipment that,equipment,equipment,that,that
206,It is construction equipment that,equipment,equipment,that,that
207,It is steel equipment that,equipment,equipment,that,that
208,There are paper staples that,staples,staples,that,that
209,It is a paper sculpture that,sculpture,sculpture,that,that
210,It is a party dance that,dance,dance,that,that
211,It is a hall dance that,dance,dance,that,that
212,It is a peasant dance that,dance,dance,that,that
213,It is a party toast that,toast,toast,that,that
214,It is a party invitation that,invitation,invitation,that,that
215,It is pine oil that,oil,oil,that,that
216,It is pig oil that,oil,oil,that,that
217,It is tanning oil that,oil,oil,that,that
218,It is a pine bark that,bark,bark,that,that
219,It is pine furniture that,furniture,furniture,that,that
220,It is a plastic report that,report,report,that,that
221,It is a war report that,report,report,that,that
222,It is a company report that,report,report,that,that
223,It is a plastic shortage that,shortage,shortage,that,that
224,It is a plastic shortage that,shortage,shortage,that,that
225,It is a servant comedy that,comedy,comedy,that,that
226,It is an economic comedy that,comedy,comedy,that,that
227,It is an amateur comedy that,comedy,comedy,that,that
228,It is a servant scandal that,scandal,scandal,that,that
229,It is a servant carriage that,carriage,carriage,that,that
230,It is a song magazine that,magazine,magazine,that,that
231,It is a sewing magazine that,magazine,magazine,that,that
232,It is a locker magazine that,magazine,magazine,that,that
233,It is a song review that,review,review,that,that
234,It is a song recital that,recital,recital,that,that
235,It is a sports pain that,pain,pain,that,that
236,It is a needle pain that,pain,pain,that,that
237,It is an ankle pain that,pain,pain,that,that
238,It is sports excite ment that,excite ment,excite ment,that,that
239,It is a sports program that,program,program,that,that
240,It is a steam lock that,lock,lock,that,that
241,It is a coil lock that,lock,lock,that,that
242,It is an industrial lock that,lock,lock,that,that
243,It is a steam turbine that,turbine,turbine,that,that
244,It is a steam maker that,maker,maker,that,that
245,It is a student vote that,vote,vote,that,that
246,It is an employee vote that,vote,vote,that,that
247,It is a reform vote that,vote,vote,that,that
248,It is a student accusation that,accusation,accusation,that,that
249,It is a student car that,car,car,that,that
250,It is sugar alcohol that,alcohol,alcohol,that,that
251,It is barley alcohol that,alcohol,alcohol,that,that
252,It is cooking alcohol that,alcohol,alcohol,that,that
253,It is sugar extract that,extract,extract,that,that
254,It is sugar storage that,storage,storage,that,that
255,It is summer money that,money,money,that,that
256,It is phone money that,money,money,that,that
257,It is casino money that,money,money,that,that
258,There are summer clothes that,clothes,clothes,that,that
259,It is summer employment that,employment,employment,that,that
260,It is tax pressure that,pressure,pressure,that,that
261,It is weight pressure that,pressure,pressure,that,that
262,It is social pressure that,pressure,pressure,that,that
263,It is tax wealth that,wealth,wealth,that,that
264,It is a tax form that,form,form,that,that
265,It is a thermal wheel that,wheel,wheel,that,that
266,It is a hydrogen wheel that,wheel,wheel,that,that
267,It is a tractor wheel that,wheel,wheel,that,that
268,It is thermal torture that,torture,torture,that,that
269,There are thermal socks that,socks,socks,that,that
270,There are urban riots that,riots,riots,that,that
271,It is a Europe dance that,dance,dance,that,that
272,There are war riots that,riots,riots,that,that
273,It is an urban tower that,tower,tower,that,that
274,It is an urban complaint that,complaint,complaint,that,that
275,There are vapor drops that,drops,drops,that,that
276,There are rain drops that,drops,drops,that,that
277,There are fallen drops that,drops,drops,that,that
278,It is a vapor cloud that,cloud,cloud,that,that
279,It is a vapor humidifier that,humidifier,humidifier,that,that
280,It is a vegetable peel that,peel,peel,that,that
281,It is a watermelon peel that,peel,peel,that,that
282,It is a bitter peel that,peel,peel,that,that
283,It is vegetable steam that,steam,steam,that,that
284,It is a vegetable appetizer that,appetizer,appetizer,that,that
285,It is a water bird that,bird,bird,that,that
286,It is a desert bird that,bird,bird,that,that
287,It is a domestic bird that,bird,bird,that,that
288,It is a water algae that,algae,algae,that,that
289,It is a water jar that,jar,jar,that,that
290,It is a winter book that,book,book,that,that
291,It is a romance book that,book,book,that,that
292,It is a hard book that,book,book,that,that
293,It is a winter show that,show,show,that,that
294,It is a winter carnival that,carnival,carnival,that,that
295,It is a wood stove that,stove,stove,that,that
296,It is a propane stove that,stove,stove,that,that
297,It is a bread stove that,stove,stove,that,that
298,It is a wood freshener that,freshener,freshener,that,that
299,It is a wood chisel that,chisel,chisel,that,that
300,There are months during which adventures occur that,months,months,that,that
301,There are months when someone is retired that,months,months,that,that
302,There are months spent in jail that,months,months,that,that
303,There are bookings made for an adventure that,bookings,bookings,that,that
304,It is a commercial that shows an adventure that,commercial,commercial,that,that
305,It is the power to attack from the air that,power,power,that,that
306,It is power produced by the sun that,power,power,that,that
307,It is power generated by hand that,power,power,that,that
308,It is a current of air that,current,current,that,that
309,It is a blast of air that,blast,blast,that,that
310,It is a rash that is found on the body just after birth that,rash,rash,that,that
311,It is a rash caused by an allergy that,rash,rash,that,that
312,It is a rash on the arm that,rash,rash,that,that
313,It is the cramps felt when giving birth that,cramp,cramps,that,that
314,It is the event of a birth happening that,event,event,that,that
315,It is a brake that has a cable as a part that,brake,brake,that,that
316,It is a brake that works by electricity that,brake,brake,that,that
317,It is the brake on a bicycle that,brake,brake,that,that
318,It is a pulley that is used on a cable that,pulley,pulley,that,that
319,It is a bobbin for winding cable on that,bobbin,bobbin,that,that
320,It is a bee that gathers nectar from a cactus that,bee,bee,that,that
321,It is a bee that attacks one at a picnic that,bee,bee,that,that
322,It is a bee that produces syrup that,bee,bee,that,that
323,It is a chipmunk that lives under cactus that,chipmunk,chipmunk,that,that
324,It is the root of a cactus plant that,root,root,that,that
325,It is a type of sugar produced from the cane plant that,sugar,sugar,that,that
326,It is sugar extracted from a peach that,sugar,sugar,that,that
327,It is sugar that is put on breakfast that,sugar,sugar,that,that
328,It is juice from the cane plant that,juice,juice,that,that
329,It is a plantation on which cane is grown that,plantation,plantation,that,that
330,There are shavings from a block of chocolate that,shavings,shavings,that,that
331,There are shavings or clippings of grass that,shavings,shavings,that,that
332,There are shavings of wood that have been dried that,shavings,shavings,that,that
333,It is power produced by eating chocolate that,power,power,that,that
334,It is a recipe for making chocolate that,recipe,recipe,that,that
335,It is a town where coal is the dominant industry that,town,town,that,that
336,It is a town where a festival happens that,town,town,that,that
337,It is a town in a valley that,town,town,that,that
338,It is the country in which coal can be found that,country,country,that,that
339,It is a machine that manufactures coal that,machine,machine,that,that
340,It is tension caused by drinking coffee that,tension,tension,that,that
341,It is tension caused by an upcoming examination that,tension,tension,that,that
342,It is tension in a muscle that,tension,tension,that,that
343,It is a stain made by spilled coffee that,stain,stain,that,that
344,It is a container for holding coffee that,container,container,that,that
345,There are lakes in the grounds of a college that,lakes,lakes,that,that
346,There are lakes that look like farmers that,lakes,lakes,that,that
347,There are lakes that are very small that,lakes,lakes,that,that
348,It is property belonging to a college that,property,property,that,that
349,It is a publication produced in a college that,publication,publication,that,that
350,It is sauce that is made of cream that,sauce,sauce,that,that
351,It is sauce which contains pumpkins that,sauce,sauce,that,that
352,It is a sauce for putting on potatoes that,sauce,sauce,that,that
353,It is a bread that is made from cream that,bread,bread,that,that
354,It is a churn used for making cream that,churn,churn,that,that
355,It is a cow owned by a family that,cow,cow,that,that
356,It is a cow owned by a school that,cow,cow,that,that
357,It is a cow that gives milk that,cow,cow,that,that
358,It is a garden that a family uses that,garden,garden,that,that
359,It is a church where a family usually goes that,church,church,that,that
360,It is a headache caused by financial problems that,headache,headache,that,that
361,It is a headache caused by the consumption of alcohol that,headache,headache,that,that
362,It is a headache that causes death that,headache,headache,that,that
363,It is a problem caused by a lack of finance that,problem,problem,that,that
364,It is a remedy for financial problems that,remedy,remedy,that,that
365,It is a gland that fish have that,gland,gland,that,that
366,It is a gland taken from a reptile that,gland,gland,that,that
367,It is a gland that is underdeveloped that,gland,gland,that,that
368,It is a fin which is part of a fish that,fin,fin,that,that
369,It is a stew with fish as an ingredient that,stew,stew,that,that
370,It is a wreath made of flowers that,wreath,wreath,that,that
371,It is a wreath made out of yarn that,wreath,wreath,that,that
372,It is Christmas wreath that,wreath,wreath,that,that
373,It is perfume that smells of flowers that,perfume,perfume,that,that
374,It is a fabric that is decorated with flowers that,fabric,fabric,that,that
375,There are pills that are intended to cure flu that,pills,pills,that,that
376,There are pills that are used to treat infants that,pills,pills,that,that
377,There are pills that are medicine that,pills,pills,that,that
378,It is therapy used for treating flus that,therapy,therapy,that,that
379,It is an outbreak of flu that,outbreak,outbreak,that,that
380,It is food used to feed fruit plants that,food,food,that,that
381,It is food that is hot that,food,food,that,that
382,It is food that comes in packages that,food,food,that,that
383,It is a slice of a fruit that,slice,slice,that,that
384,It is the seed found inside a fruit that,seed,seed,that,that
385,It is a lamp that is powered by gas that,lamp,lamp,that,that
386,It is a lamp that runs on batteries that,lamp,lamp,that,that
387,It is a lamp that is used in a cabin that,lamp,lamp,that,that
388,It is a car that runs on gas that,car,car,that,that
389,It is a hose down which gas flows that,hose,hose,that,that
390,It is the law governing grain that,law,law,that,that
391,It is the law which states how traffic should behave that,law,law,that,that
392,It is a law that holds in a state that,law,law,that,that
393,It is a controversy over the supply of grain that,controversy,controversy,that,that
394,It is a dish used for holding grain that,dish,dish,that,that
395,It is a hole in the gutter that,hole,hole,that,that
396,It is a hole in the prairie that some animal lives in that,hole,hole,that,that
397,It is a hole that a rodent lives in that,hole,hole,that,that
398,It is a rodent that lives in the gutter that,rodent,rodent,that,that
399,It is drainage into a gutter that,drainage,drainage,that,that
400,It is an iron that is hot that,iron,iron,that,that
401,It is an iron used to cook pancakes that,iron,iron,that,that
402,It is an iron that is made of ceramic that,iron,iron,that,that
403,It is a pad that produces heat that,pad,pad,that,that
404,It is a machine that regulates heat that,regulator,regulates,that,that
405,There are people who were members in historical times that,members,members,that,that
406,There are members which are from a foreign place that,members,members,that,that
407,There are members of a hospital governing board that,members,members,that,that
408,It is an elder person in historical times that,elder,elder,that,that
409,There are archives containing historical information that,archives,archives,that,that
410,It is a light that is found in a home that,light,light,that,that
411,It is a light that provides illumination for reading that,light,light,that,that
412,It is a light that is made of glass that,light,light,that,that
413,It is paint that is used on homes that,paint,paint,that,that
414,It is a dispute about the home that,dispute,dispute,that,that
415,It is soup with honey as an ingredient that,soup,soup,that,that
416,It is soup made of ham that,soup,soup,that,that
417,It is a soup that you only have on holidays that,soup,soup,that,that
418,It is a muffin with honey as an ingredient that,muffin,muffin,that,that
419,It is an insect that produces honey that,insect,insect,that,that
420,There are scales used to weigh horses that,scales,scales,that,that
421,There are a scales on which chemicals are weighed that,scales,scales,that,that
422,There are scales made of metal that,scales,scales,that,that
423,There are stables that a horse lives in that,stables,stables,that,that
424,It is an auction where horses are sold that,auction,auction,that,that
425,It is the language used to talk about jobs that,language,language,that,that
426,It is the language that is spoken in California that,language,language,that,that
427,It is language that is used verbally that,language,language,that,that
428,It is the completion of a job that,completion,completion,that,that
429,It is anxiety about losing a job that,anxiety,anxiety,that,that
430,It is underwear that are worn by juvenile people that,underwear,underwear,that,that
431,It is special underwear that are worn in the evening that,underwear,underwear,that,that
432,It is underwear made of flannel that,underwear,underwear,that,that
433,It is a swing that is reserved for juveniles that,swing,swing,that,that
434,It is the bad behavior of juveniles that,behavior,behavior,that,that
435,It is the plant on which lemons grow that,plant,plant,that,that
436,It is a plant that produces a lot of pollen that,plant,plant,that,that
437,It is a plant that grows on a farm that,plant,plant,that,that
438,It is a tree on which lemons grow that,tree,tree,that,that
439,It is a biscuit with lemons as an ingredient that,biscuit,biscuit,that,that
440,It is an antique found in the sea that,antique,antique,that,that
441,It is an antique that is found in a library that,antique,antique,that,that
442,It is an antique which is a tool used for sewing that,antique,antique,that,that
443,It is a gun that is used by marines that,gun,gun,that,that
444,It is an attack carried out by marines that,attack,attack,that,that
445,'There are a person''s instincts to get married.' that,instincts,instincts,that,that
446,There are somebodies instincts for academic politics that,instincts,instincts,that,that
447,There are instincts that have evolved in an animal that,instincts,instincts,that,that
448,'It is a person''s preparation for getting married.' that,preparation,preparation,that,that
449,It is happiness in marriage that,happiness,happiness,that,that
450,It is a virus found in milk that,virus,virus,that,that
451,It is a virus that affects the throat that,virus,virus,that,that
452,It is a virus that is dormant that,virus,virus,that,that
453,It is a bacterium that is found in milk that,bacterium,bacterium,that,that
454,It is a pudding with milk as an ingredient that,pudding,pudding,that,that
455,There are signals that morning is approaching that,signals,signals,that,that
456,There are signals that someone is pregnant that,signals,signals,that,that
457,There are signals that animals use that,signals,signals,that,that
458,It is medication that must be taken in the morning that,medication,medication,that,that
459,It is meditation that is done in the morning that,meditation,meditation,that,that
460,It is the shape of a moth that,shape,shape,that,that
461,It is the shape of a mould that,shape,shape,that,that
462,It is the shape oval that,shape,shape,that,that
463,It is the wing of a moth that,wing,wing,that,that
464,It is an insecticide used for killing moths that,insecticide,insecticide,that,that
465,It is a cool breeze that blows in the mountains that,breeze,breeze,that,that
466,It is a breeze that goes through a kitchen that,breeze,breeze,that,that
467,It is a breeze that blows before a storm that,breeze,breeze,that,that
468,It is a cabin on the side of a mountain that,cabin,cabin,that,that
469,It is a magazine about mountains that,magazine,magazine,that,that
470,It is a forest that is maintained by the municipality that,forest,forest,that,that
471,It is a forest that is owned by royalty that,forest,forest,that,that
472,It is a forest in the alps that,forest,forest,that,that
473,It is a pool maintained by the municipality that,pool,pool,that,that
474,It is a political campaign for municipal elections that,campaign,campaign,that,that
475,It is a film about murder that,film,film,that,that
476,It is a film about people who live in poverty that,film,film,that,that
477,It is a film made in a foreign country that,film,film,that,that
478,It is an investigation into the circumstances of a murder that,investigation,investigation,that,that
479,It is an attempt to murder someone that,attempt,attempt,that,that
480,There are the resources of a nation that,resources,resources,that,that
481,There are the resources that a company possesses that,resources,resources,that,that
482,There are resources of gold that,resources,resources,that,that
483,It is the police of a nation that,police,police,that,that
484,It is a mistake made by a nation that,mistake,mistake,that,that
